"new_ID","Name","Event","Medal","Region"
129692,"Neil Scott Walker","Swimming Men's 4 x 100 metres Freestyle Relay","Bronze","USA"
129692,"Neil Scott Walker","Swimming Men's 4 x 100 metres Medley Relay","Gold","USA"
130978,"Amanda Jo Weir (-Davis)","Swimming Women's 4 x 100 metres Freestyle Relay","Silver","USA"
130978,"Amanda Jo Weir (-Davis)","Swimming Women's 4 x 100 metres Medley Relay","Silver","USA"
133159,"Gabriel Thomas Gabe Woodward","Swimming Men's 4 x 100 metres Freestyle Relay","Bronze","USA"
133690,"Xu Yanwei","Swimming Women's 4 x 200 metres Freestyle Relay","Silver","China"
133925,"Takashi Yamamoto","Swimming Men's 200 metres Butterfly","Silver","Japan"
133925,"Takashi Yamamoto","Swimming Men's 4 x 100 metres Medley Relay","Bronze","Japan"
134170,"Yang Yu","Swimming Women's 4 x 200 metres Freestyle Relay","Silver","China"
135700,"Mitja Kolia Zastrow","Swimming Men's 4 x 100 metres Freestyle Relay","Silver","Netherlands"
136512,"Zhu Yingwen","Swimming Women's 4 x 200 metres Freestyle Relay","Silver","China"
137194,"Klaas Erik Klaas-Erik Zwering","Swimming Men's 4 x 100 metres Freestyle Relay","Silver","Netherlands"
