"new_ID","ID","Name","Sex","NOC"
60326,59679,"Chieko Kikkawa","F","JPN"
80963,80033,"Lavinia Corina Miloovici","F","ROU"
8835,8749,"Alexander Alex Baumann","M","CAN"
130185,128618,"Wang Yan","F","CHN"
95547,94468,"David Brad Phillips","M","NZL"
33428,33105,"Ignacio Escamilla","M","MEX"
129053,127501,"Mikhail Yakovlevich Voronin","M","URS"
96133,95050,"Guilherme Gil Saggese Pinto","M","BRA"
115855,114483,"Jaroslav astn","M","TCH"
88163,87153,"Vladimir Anatolyevich Novikov","M","URS"
25511,25262,"Olga Valeryevna Danilova","F","RUS"
124966,123461,"Jean-Pierre Urbing","M","LUX"
117556,116147,"Josef Sucharda","M","TCH"
